Source,Target,Type
391,769,aG-B
391,496,W-B
496,769,W-G
391,1295,W-B
769,1295,W-G
517,1080,aG-B
449,1080,W-B
449,517,W-G
997,1080,W-B
517,997,W-G
230,364,aG-B
230,856,W-B
364,856,W-G
230,351,W-B
351,364,W-G
319,397,aG-B
397,844,W-B
397,1164,W-B
69,319,W-G
319,921,W-G
125,412,aG-B
412,571,W-B
125,571,W-G
412,818,W-B
125,818,W-G
1097,1206,aG-B
512,1097,W-B
512,1206,W-G
869,1097,W-B
869,1206,W-G
52,872,aG-B
52,151,W-B
151,872,W-G
52,460,W-B
460,872,W-G
393,857,aG-B
393,1361,W-B
393,1362,W-B
215,857,W-G
188,857,W-G
342,1062,aG-B
1062,1380,W-B
342,1380,W-G
438,1062,W-B
342,438,W-G
1359,1519,aG-B
64,1519,W-B
64,1359,W-G
1393,1519,W-B
1359,1393,W-G
623,1179,aG-B
436,1179,W-B
436,623,W-G
1179,1327,W-B
623,1327,W-G
246,341,aG-B
246,534,W-B
341,534,W-G
246,296,W-B
296,341,W-G
557,1098,aG-B
1098,1272,W-B
557,1272,W-G
97,1098,W-B
97,557,W-G
57,353,aG-B
57,1310,W-B
353,1310,W-G
57,501,W-B
353,501,W-G
957,1421,aG-B
957,1201,W-B
1201,1421,W-G
957,1210,W-B
1210,1421,W-G
84,214,aG-B
214,1000,W-B
84,1000,W-G
114,214,W-B
84,114,W-G
30,270,aG-B
270,1241,W-B
30,1241,W-G
270,1200,W-B
30,1200,W-G
61,668,aG-B
668,1380,W-B
61,1380,W-G
668,1341,W-B
61,1341,W-G
80,223,aG-B
94,223,W-B
80,94,W-G
223,248,W-B
80,248,W-G
533,1495,aG-B
519,1495,W-B
519,533,W-G
1495,1505,W-B
533,1505,W-G
204,404,aG-B
404,519,W-B
204,519,W-G
404,1505,W-B
204,1505,W-G
1443,1473,aG-B
813,1443,W-G
736,1443,W-G
531,1473,W-B
1238,1473,W-B
92,399,aG-B
399,1329,W-B
399,992,W-B
253,567,aG-B
253,468,W-B
468,567,W-G
253,519,W-B
519,567,W-G
714,1038,aG-B
714,763,W-B
763,1038,W-G
714,1195,W-B
1038,1195,W-G
942,1266,aG-B
503,1266,W-B
503,942,W-G
1266,1505,W-B
942,1505,W-G
831,974,aG-B
860,974,W-B
831,860,W-G
178,974,W-B
178,831,W-G
1403,1464,aG-B
1231,1464,W-B
1231,1403,W-G
762,1464,W-B
762,1403,W-G
276,929,aG-B
505,929,W-B
276,505,W-G
929,1198,W-B
276,1198,W-G
1217,1307,aG-B
301,1307,W-B
301,1217,W-G
361,1307,W-B
361,1217,W-G
119,637,aG-B
637,778,W-B
119,778,W-G
350,637,W-B
119,350,W-G
56,761,aG-B
56,612,W-B
612,761,W-G
56,1006,W-B
761,1006,W-G
154,1463,aG-B
599,1463,W-B
154,599,W-G
534,1463,W-B
154,534,W-G
238,596,aG-B
238,562,W-B
562,596,W-G
238,243,W-B
243,596,W-G
112,644,aG-B
108,644,W-B
108,112,W-G
644,1037,W-B
112,1037,W-G
939,1281,aG-B
939,1258,W-B
1258,1281,W-G
367,939,W-B
367,1281,W-G
2,315,aG-B
2,1269,W-B
315,1269,W-G
2,1376,W-B
315,1376,W-G
1202,1305,aG-B
607,1305,W-B
607,1202,W-G
503,1305,W-B
503,1202,W-G
274,1021,aG-B
274,1230,W-B
1021,1230,W-G
274,1316,W-B
1021,1316,W-G
392,587,aG-B
392,777,W-B
587,777,W-G
99,392,W-B
99,587,W-G
212,508,aG-B
212,778,W-B
508,778,W-G
212,777,W-B
508,777,W-G
1263,1356,aG-B
519,1263,W-B
519,1356,W-G
122,1263,W-B
122,1356,W-G
199,1094,aG-B
3,1094,W-B
3,199,W-G
91,1094,W-B
91,199,W-G
359,457,aG-B
359,1385,W-G
359,1101,W-G
457,1145,W-B
457,903,W-B
1015,1182,aG-B
3,1182,W-B
3,1015,W-G
501,1182,W-B
501,1015,W-G
938,943,aG-B
612,938,W-B
612,943,W-G
938,996,W-B
943,996,W-G
928,1027,aG-B
405,928,W-B
