ID,Name,Sex,Race,Node_Role,Network,Label,Label2
1,Adan,m,WA,S,1,,
2,Agueda de la Cruz,f,Asian,S,1,,
3,Agustin,m,WCA,S,642,Agustin (Herrera y Orta),Agustin (Herrera y Orta)
4,Agustin,m,WCA,S,120,,
5,Agustin,m,WCA,S,642,,
7,Agustin,m,WCA,S,120,,
8,Agustin de la Cruz,m,creole,S,1,,
9,Agustin de Medina,m,creole,S,642,,
10,Agustin de Sosa,m,WCA,S,120,,
11,Agustin Hernandes,m,creole,F,642,,
12,Agustin Manuel,m,WCA,S,1,,
13,Agustina,f,WCA,S,1,,
14,Agustina,f,WCA,S,1,,
15,Agustina,f,WCA,S,1,,
16,Agustina de Astudillo,f,Non-Af,F,1,,
17,Agustina de la Cruz,f,creole,S,1,,
18,Agustina de San Geronimo,f,creole,F,1,,
19,Agustina Perez,f,Non-Af,F,2_to_9,,
20,Alejandro,m,WCA,S,1,,
21,Alexandre,m,WCA,S,642,,
22,Alexo,m,WA,S,1,,
23,Alfonzo,m,WA,S,1,,
24,Alonso de Nueva,m,Non-Af,F,2_to_9,,
25,Alonza Tomasina,f,creole,S,1,,
26,Alonzo,m,WCA,S,1,,
27,Alonzo de Aviles,m,creole,F,1,,
28,Alonzo de Leyba,m,Unk,F,1,,
29,Amador De Sosa,m,WA,S,1,,
30,Ambrosio,m,WCA,S,1,,
31,Ambrosio,m,WCA,S,642,,
32,Ambrosio,m,WCA,S,642,,
33,Ana,f,WCA,S,1,,
34,Ana,f,WCA,S,1,,
35,Ana,f,WA,S,1,,
36,Ana,f,WCA,S,642,,
37,Ana,f,WA,S,642,,
38,Ana,f,WCA,S,120,,
39,Ana,f,WA,S,1,,
40,Ana,f,unkBlack,S,1,,
41,Ana,f,WCA,S,642,,
42,Ana,f,creole,F,1,,
43,Ana Cortes,f,WCA,S,1,,
44,Ana de Dios,f,WCA,S,1,,
45,Ana de la Concepcion,f,creole,F,1,,
46,Ana de la Cruz,f,WCA,S,1,,
47,Ana de la Cruz,f,creole,F,1,,
48,Ana de los Angeles,f,Non-Af,F,1,,
49,Ana de Rojas,f,Non-Af,F,1,,
50,Ana de Santiago,f,WCA,S,1,,
51,Ana Maria,f,creole,S,1,,
52,Ana Maria,f,WCA,S,2_to_9,,
53,Ana Maria,f,Non-Af,F,1,,
54,Ana Ponce Romero,f,creole,F,2_to_9,,
55,Andrea,f,WCA,S,2_to_9,,
56,Andrea,f,WCA,S,642,,
57,Andrea,f,WCA,S,642,,
58,Andreas,m,WCA,S,642,,
59,Andres,m,WCA,S,1,,
60,Andres,m,WCA,S,642,,
61,Andres,m,WCA,S,642,,
62,Andres,m,WCA,S,2_to_9,,
63,Andres de Garcia,m,unkBlack,S,1,,
64,Andres de la Cruz,m,creole,S,1,,
65,Andres de la Cruz,m,WA,S,1,,
66,Andres de San Juan,m,WCA,S,1,,
67,Andres Francisco,m,Asian,F,1,,
68,Andres Geronimo,m,creole,S,1,,
69,Andres Matias Mendes,m,creole,F,1,,
70,Angelina,f,WCA,S,642,,
71,Antonia,f,WCA,S,1,,
72,Antonia,f,WCA,S,1,,
73,Antonia,f,WCA,S,2_to_9,,
74,Antonia de la Cruz,f,WCA,S,2_to_9,,
75,Antonia de Salinas,f,creole,F,2_to_9,,
76,Antonia de San Nicolas,f,creole,S,1,,
77,Antonio,m,unkBlack,S,2_to_9,,
78,Antonio,m,WCA,S,120,,
79,Antonio,m,WCA,S,1,,
80,Antonio,m,WCA,S,1,,
81,Antonio,m,WCA,S,1,,
82,Antonio,m,WCA,S,1,,
83,Antonio,m,WCA,S,1,,
84,Antonio,m,WCA,S,2_to_9,,
85,Antonio,m,WCA,S,642,,
86,Antonio,m,WCA,S,2_to_9,,
88,Antonio,m,WCA,S,120,,
89,Antonio,m,WA,S,1,,
90,Antonio,m,WCA,S,642,,
91,Antonio,m,WCA,S,642,,
92,Antonio,m,WCA,S,1,,
93,Antonio,m,WCA,S,2_to_9,,
94,Antonio,m,WCA,S,1,,
95,Antonio,m,WCA,S,1,,
96,Antonio,m,WA,S,2_to_9,,
97,Antonio,m,WA,S,642,,
98,Antonio,m,WA,S,1,,
99,Antonio,m,WCA,S,642,,
100,Antonio,m,WCA,S,2_to_9,,
101,Antonio,m,WCA,S,642,,
102,Antonio,m,WCA,S,642,,
103,Antonio,m,WCA,S,642,,
104,Antonio,m,WCA,S,1,,
105,Antonio,m,WCA,S,642,,
106,Antonio,m,WCA,S,642,,
107,Antonio,m,WCA,S,2_to_9,,
108,Antonio,m,WCA,S,642,,
109,Antonio,m,WA,S,1,,
110,Antonio,m,WCA,S,642,,
111,Antonio,m,WCA,S,1,,
112,Antonio,m,WA,S,642,,
113,Antonio,m,WA,S,1,,
114,Antonio,m,WCA,S,2_to_9,,
115,Antonio,m,WCA,S,642,,
116,Antonio,m,WCA,S,1,,
117,Antonio,m,unkBlack,S,2_to_9,,
118,Antonio,m,WCA,S,1,,
119,Antonio,m,WCA,S,642,,
120,Antonio,m,WA,S,1,,
122,Antonio,m,WCA,S,642,Antonio (Navarro),Antonio (Navarro)
123,Antonio,m,WCA,S,642,,
124,Antonio,m,WCA,S,2_to_9,,
125,Antonio,m,WCA,S,1,,
126,Antonio,m,WCA,S,1,,
127,Antonio,m,WCA,S,120,,
128,Antonio,m,WCA,S,2_to_9,,
130,Antonio,m,WCA,S,2_to_9,,
131,Antonio,m,WCA,S,2_to_9,,
132,Antonio,m,WCA,S,642,,
133,Antonio,m,WA,S,1,,
134,Antonio,m,WCA,S,1,,
135,Antonio,m,WCA,S,642,,
136,Antonio,m,WCA,S,1,,
137,Antonio,m,unkBlack,S,1,,
138,Antonio,m,WCA,S,120,,
139,Antonio,m,WCA,S,642,,
140,Antonio,m,WCA,S,2_to_9,,
141,Antonio,m,WCA,S,2_to_9,,
142,Antonio,m,WCA,S,642,,
143,Antonio,m,WCA,S,642,,
144,Antonio,m,WCA,S,1,,
145,Antonio,m,WCA,S,2_to_9,,
146,Antonio,m,WCA,S,1,,
147,Antonio,m,WCA,S,1,,
148,Antonio,m,WCA,S,642,,
149,Antonio,m,WCA,S,1,,
150,Antonio,m,WCA,S,1,,
151,Antonio de la Cruz,m,WCA,S,2_to_9,,
152,Antonio,m,WA,S,642,,
153,Antonio,m,WA,S,1,,
154,Antonio,m,WCA,S,642,,
155,Antonio,m,WA,F,2_to_9,,
156,Antonio de Alcase,m,unkBlack,S,120,,
157,Antonio de Espinosa,m,WCA,S,1,,
158,Antonio de Guzman,m,WCA,F,2_to_9,,
159,Antonio de la Cruz,m,WCA,S,642,,
160,Antonio de la Cruz,m,WCA,S,642,,
161,Antonio de la Cruz,m,WCA,S,642,,
162,Antonio de la Cruz,m,WCA,S,642,,
163,Antonio de la Cruz,m,WCA,S,1,,
164,Antonio de la Cruz,m,WCA,S,120,,
165,Antonio de la Cruz,m,WA,S,642,,
166,Antonio de la Cruz,m,WCA,S,1,,
167,Antonio de la Cruz,m,WCA,S,642,,
168,Antonio de la Cruz,m,WCA,S,120,,
169,Antonio de la Cruz,m,WCA,S,1,,
